name,latitude,longitude,city,state,description,image_url
Teranga,40.7698,-73.9819,New York,NY,Senegalese cuisine,https://media.timeout.com/images/105594107/750/562/image.jpg
Queen of Sheba,38.9072,-77.0322,Washington,DC,Ethiopian flavors,https://media-cdn.tripadvisor.com/media/photo-s/12/16/39/50/queen-of-sheba.jpg
Safari Restaurant,44.9672,-93.2783,Minneapolis,MN,Somali food hub,https://www.safarirestaurantmpls.com/wp-content/uploads/2018/07/safari-restaurant.jpg
Calabash,34.0007,-81.0348,Columbia,SC,West African fusion,https://www.postandcourier.com/wp-content/uploads/2021/09/Calabash-Restaurant-1.jpg
Bukom Cafe,38.919,-77.045,Washington,DC,Ghanaian & Nigerian plates,https://media-cdn.tripadvisor.com/media/photo-s/10/f0/72/19/bukom-cafe.jpg
Lagos Island Grill,29.7604,-95.3698,Houston,TX,Spicy Nigerian dishes,https://lagosislandgrill.com/images/gallery/food1.jpg
Kilimanjaro Restaurant,39.9526,-75.1652,Philadelphia,PA,Tanzanian favorites,https://media-cdn.tripadvisor.com/media/photo-s/18/6c/c6/0b/kilimanjaro-restaurant.jpg
Mandela Restaurant,41.8781,-87.6298,Chicago,IL,Pan-African dishes,https://media-cdn.tripadvisor.com/media/photo-s/07/87/41/7f/mandela-restaurant.jpg
Adulis Eritrean Cuisine,37.7749,-122.4194,San Francisco,CA,Eritrean traditional food,https://s3-media0.fl.yelpcdn.com/bphoto/MKXnnpJxEi0gnwAUM7zM0w/o.jpg
Taste of Africa,33.7488,-84.3877,Atlanta,GA,Kenyan & Ugandan specialties,https://tasteofafricaga.com/wp-content/uploads/2020/05/tasteofafrica-food.jpg
Mesob Restaurant,40.7591,-74.0419,Montclair,NJ,Ethiopian & Eritrean food,https://media-cdn.tripadvisor.com/media/photo-s/11/83/0e/74/mesob-ethiopian-restaurant.jpg
Little Addis Cafe,34.7304,-86.5861,Huntsville,AL,Ethiopian comfort food,https://media-cdn.tripadvisor.com/media/photo-s/15/7c/fb/df/little-addis-cafe.jpg
Fikre Express,32.7767,-96.797,Dallas,TX,Ethiopian & Mediterranean blend,https://media-cdn.tripadvisor.com/media/photo-s/11/63/2c/0d/fikre-express.jpg
Safari Njema,47.6062,-122.3321,Seattle,WA,Kenyan & Swahili dishes,https://media-cdn.tripadvisor.com/media/photo-s/15/37/94/1d/safari-njema.jpg
Chez Dior,38.8606,-77.0858,Hyattsville,MD,Senegalese fine dining,https://media-cdn.tripadvisor.com/media/photo-s/0b/d0/9b/0b/chez-dior.jpg
Lalibela Ethiopian Restaurant,42.3314,-83.0458,Detroit,MI,Traditional Ethiopian cuisine,https://media-cdn.tripadvisor.com/media/photo-s/12/91/90/29/lalibela-ethiopian-restaurant.jpg
Blue Nile,44.9778,-93.265,Minneapolis,MN,Vegan-friendly Ethiopian meals,https://media-cdn.tripadvisor.com/media/photo-s/10/29/3b/5f/blue-nile-restaurant.jpg
Awash Ethiopian Restaurant,34.0522,-118.2437,Los Angeles,CA,Ethiopian food with injera,https://media-cdn.tripadvisor.com/media/photo-s/11/7b/e4/86/awash-ethiopian-restaurant.jpg
Mama Put,40.7128,-74.006,New York,NY,Nigerian street food,https://media-cdn.tripadvisor.com/media/photo-s/15/6c/92/4a/mama-put.jpg
Hibiscus,29.4241,-98.4936,San Antonio,TX,West African and Caribbean fusion,https://media-cdn.tripadvisor.com/media/photo-s/18/c1/a1/17/hibiscus.jpg
